EDRD_2012,vtd,name,ward,RegisteredVoters_2014_08,DEM_2014_08,REP_2014_08,STG_2014_08,LIB_2014_08,OTH_2014_08,NP_2014_08,TotPop_2010,PctPopUnder18Years_2010,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_2010,PctHisp_2010,PctAsianPINonHispBridge_2010,PctPoorPersons_2007_11,PctUnemployed_2007_11,Pct25andOverWoutHS_2007_11,AvgFamilyIncAdj_2007_11,PctOwnerOccupiedHsgUnits_2007_11,DemPrimary14_Shallal,DemPrimary14_Evans,DemPrimary14_Bowser,DemPrimary14_Wells,DemPrimary14_Gray,DemPrimary14_Orange,DemPrimary10_Fenty
03-09,vp99,,,,,,,,,,2993,,,,,,,,,,,,,,,,,
03-10,vp108,,,,,,,,,,1735,,,,,,,,,,,,,,,,,
03-11,vp118,,,,,,,,,,2228,,,,,,,,,,,,,,,,,
03-12,vp128,,,,,,,,,,1583,,,,,,,,,,,,,,,,,
03-13,vp142,,,,,,,,,,867,,,,,,,,,,,,,,,,,
03-15,vp156,,,,,,,,,,2405,,,,,,,,,,,,,,,,,
03-16,vp166,,,,,,,,,,2254,,,,,,,,,,,,,,,,,
03-17,vp176,,,,,,,,,,2547,,,,,,,,,,,,,,,,,
03-18,vp187,,,,,,,,,,1555,,,,,,,,,,,,,,,,,
03-19,vp197,,,,,,,,,,1825,,,,,,,,,,,,,,,,,
03-21,vp209,,,,,,,,,,2386,,,,,,,,,,,,,,,,,
03-22,vp220,,,,,,,,,,2026,,,,,,,,,,,,,,,,,
03-23,vp232,,,,,,,,,,1483,,,,,,,,,,,,,,,,,
03-24,vp241,,,,,,,,,,1662,,,,,,,,,,,,,,,,,
03-25,vp251,,,,,,,,,,2146,,,,,,,,,,,,,,,,,
03-26,vp259,,,,,,,,,,1341,,,,,,,,,,,,,,,,,
03-27,vp268,,,,,,,,,,1763,,,,,,,,,,,,,,,,,
04-01,vp4,,,,,,,,,,2656,,,,,,,,,,,,,,,,,
04-02,vp18,,,,,,,,,,121,,,,,,,,,,,,,,,,,
04-03,vp32,,,,,,,,,,2501,,,,,,,,,,,,,,,,,
04-04,vp42,,,,,,,,,,1000,,,,,,,,,,,,,,,,,
04-05,vp58,,,,,,,,,,2309,,,,,,,,,,,,,,,,,
04-06,vp68,,,,,,,,,,1487,,,,,,,,,,,,,,,,,
04-07,vp80,,,,,,,,,,2861,,,,,,,,,,,,,,,,,
04-08,vp90,,,,,,,,,,2655,,,,,,,,,,,,,,,,,
04-09,vp100,,,,,,,,,,1113,,,,,,,,,,,,,,,,,
04-10,vp109,,,,,,,,,,2782,,,,,,,,,,,,,,,,,
04-11,vp119,,,,,,,,,,1570,,,,,,,,,,,,,,,,,
04-12,vp129,,,,,,,,,,1216,,,,,,,,,,,,,,,,,
04-13,vp143,,,,,,,,,,2379,,,,,,,,,,,,,,,,,
04-15,vp157,,,,,,,,,,1501,,,,,,,,,,,,,,,,,
04-16,vp167,,,,,,,,,,2110,,,,,,,,,,,,,,,,,
04-17,vp177,,,,,,,,,,1542,,,,,,,,,,,,,,,,,
04-18,vp188,,,,,,,,,,2854,,,,,,,,,,,,,,,,,
04-19,vp198,,,,,,,,,,2702,,,,,,,,,,,,,,,,,
04-21,vp210,,,,,,,,,,2435,,,,,,,,,,,,,,,,,
04-22,vp221,,,,,,,,,,1815,,,,,,,,,,,,,,,,,
04-23,vp233,,,,,,,,,,2194,,,,,,,,,,,,,,,,,
04-24,vp242,,,,,,,,,,1171,,,,,,,,,,,,,,,,,
04-25,vp252,,,,,,,,,,1880,,,,,,,,,,,,,,,,,
04-26,vp260,,,,,,,,,,2425,,,,,,,,,,,,,,,,,
04-27,vp269,,,,,,,,,,2201,,,,,,,,,,,,,,,,,
05-01,vp5,,,,,,,,,,2009,,,,,,,,,,,,,,,,,
05-02,vp19,,,,,,,,,,2067,,,,,,,,,,,,,,,,,
05-03,vp33,,,,,,,,,,322,,,,,,,,,,,,,,,,,
05-04,vp43,,,,,,,,,,920,,,,,,,,,,,,,,,,,
05-05,vp59,,,,,,,,,,1867,,,,,,,,,,,,,,,,,
05-06,vp69,,,,,,,,,,2615,,,,,,,,,,,,,,,,,
05-07,vp81,,,,,,,,,,949,,,,,,,,,,,,,,,,,
05-08,vp91,,,,,,,,,,3065,,,,,,,,,,,,,,,,,
05-09,vp101,,,,,,,,,,2739,,,,,,,,,,,,,,,,,
05-10,vp110,,,,,,,,,,1847,,,,,,,,,,,,,,,,,
05-11,vp120,,,,,,,,,,2569,,,,,,,,,,,,,,,,,
05-12,vp130,,,,,,,,,,1952,,,,,,,,,,,,,,,,,
05-13,vp144,,,,,,,,,,2994,,,,,,,,,,,,,,,,,
05-15,vp158,,,,,,,,,,2822,,,,,,,,,,,,,,,,,
05-16,vp168,,,,,,,,,,2414,,,,,,,,,,,,,,,,,
05-17,vp178,,,,,,,,,,1735,,,,,,,,,,,,,,,,,
05-18,vp189,,,,,,,,,,2004,,,,,,,,,,,,,,,,,
05-19,vp199,,,,,,,,,,3056,,,,,,,,,,,,,,,,,
05-21,vp211,,,,,,,,,,2149,,,,,,,,,,,,,,,,,
05-22,vp222,,,,,,,,,,2571,,,,,,,,,,,,,,,,,
05-23,vp234,,,,,,,,,,4586,,,,,,,,,,,,,,,,,
05-24,vp243,,,,,,,,,,3311,,,,,,,,,,,,,,,,,
05-25,vp253,,,,,,,,,,1810,,,,,,,,,,,,,,,,,
05-26,vp261,,,,,,,,,,3320,,,,,,,,,,,,,,,,,
05-27,vp270,,,,,,,,,,2310,,,,,,,,,,,,,,,,,
06-01,vp6,,,,,,,,,,947,,,,,,,,,,,,,,,,,
06-02,vp20,,,,,,,,,,1505,,,,,,,,,,,,,,,,,
06-03,vp34,,,,,,,,,,2971,,,,,,,,,,,,,,,,,
06-04,vp44,,,,,,,,,,1728,,,,,,,,,,,,,,,,,
06-05,vp60,,,,,,,,,,1649,,,,,,,,,,,,,,,,,
06-06,vp70,,,,,,,,,,1274,,,,,,,,,,,,,,,,,
06-07,vp82,,,,,,,,,,1329,,,,,,,,,,,,,,,,,
06-08,vp92,,,,,,,,,,2704,,,,,,,,,,,,,,,,,
06-09,vp102,,,,,,,,,,1872,,,,,,,,,,,,,,,,,
06-10,vp111,,,,,,,,,,2024,,,,,,,,,,,,,,,,,
06-11,vp121,,,,,,,,,,2773,,,,,,,,,,,,,,,,,
06-12,vp131,,,,,,,,,,829,,,,,,,,,,,,,,,,,
06-13,vp145,,,,,,,,,,2764,,,,,,,,,,,,,,,,,
06-15,vp159,,,,,,,,,,2289,,,,,,,,,,,,,,,,,
06-16,vp169,,,,,,,,,,1918,,,,,,,,,,,,,,,,,
06-17,vp179,,,,,,,,,,422,,,,,,,,,,,,,,,,,
06-18,vp190,,,,,,,,,,2805,,,,,,,,,,,,,,,,,
06-19,vp200,,,,,,,,,,789,,,,,,,,,,,,,,,,,
06-21,vp212,,,,,,,,,,2851,,,,,,,,,,,,,,,,,
06-22,vp223,,,,,,,,,,992,,,,,,,,,,,,,,,,,
06-23,vp235,,,,,,,,,,2141,,,,,,,,,,,,,,,,,
06-24,vp244,,,,,,,,,,1686,,,,,,,,,,,,,,,,,
06-25,vp254,,,,,,,,,,3003,,,,,,,,,,,,,,,,,
06-26,vp262,,,,,,,,,,2283,,,,,,,,,,,,,,,,,
